,m318,m260,m1198,m527,m858,m2762,m50,m593,m2028,m2858,m1196,m2571,m1197,m1193,m912,m608,m1617,m110,m1221,m750,m296,m541,m1136,m908,m1213,m1240,m1,m904,m919,m2396,m457,m589,m1214,m1210,m2997,m3114,m1270,m1259,m1225,m1304,m1704,m1252,m1291,m3578,m1200,m356,m923,m913,m1148,m1036,m2804,m1247,m1234,m2324,m1610,m1207,m1387,m1097,m1265,m2918,m1250,m1278,m1219,m1307,m2716,m1208,m1358,m111,m924,m1233,m1242,m969,m1230,m1961,m1222,m3147,m2692,m150,m1204,m2791,m3471,m3897,m1089,m1276,m903,m2959,m1288,m480,m1394,m745,m2000,m1580,m1090,m1294,m2355,m2599,m47,m32,m910,m2019
m318,,0.809766721382892,0.8387879874432449,0.8474385995679028,0.8213726191161825,0.8244238039645033,0.8491692659602808,0.8163704940973273,0.7997486192793049,0.7660723389228714,0.784113120071495,0.7755430534768081,0.7971235228837639,0.8159065747256202,0.7321295182858967,0.7068117811487704,0.7470046590731758,0.7985223889256723,0.7835000569374087,0.7618197726620374,0.7499709306386,0.713616904275915,0.7700544860514993,0.7757385325980264,0.76819749326497,0.7224719302546301,0.753811228679513,0.7750860209424159,0.7177830088634606,0.6943357554152854,0.7618323568679124,0.7018853775070557,0.7209934613624339,0.7198370297195638,0.6778422862651565,0.7509170714496664,0.7161397314556427,0.7855646233232443,0.7338126113239074,0.74051671129491,0.8031615519551311,0.7086900955401929,0.773719503881942,0.7344019097593932,0.7304998413887624,0.7725071269998711,0.7308503196363368,0.7344903960592934,0.8110485359585662,0.7399222865817425,0.7631136035045704,0.7083756158148572,0.7814606217821201,0.8047382326202219,0.7282777439424732,0.7995160172714381,0.7211290843580347,0.6928911772814296,0.672666761422987,0.7639641663040835,0.787327113444773,0.7247310893634953,0.7174477947226454,0.7381957634609303,0.6683321823129112,0.7344625413604579,0.7651695813379693,0.6989231132596667,0.6192485893986919,0.7279521509539199,0.7962304441971935,0.6928016667527152,0.6161368625049861,0.7659034409724033,0.729221369338461,0.7798489360484177,0.7282358423272877,0.7573762778474102,0.7617442537146519,0.6587184207912458,0.7069096219469351,0.7911179560949952,0.7332370513750053,0.7710635355521972,0.7077863272485644,0.6948377798151238,0.6996238889624615,0.5945259228192273,0.6867573196735863,0.8079230683820254,0.6600209622249646,0.5559259468661447,0.7424468898141212,0.7059015852784482,0.6268994322384064,0.6335303923357798,0.7677076847438238,0.6709929820509787,0.6911814352136848,0.741855952422532
m260,0.809766721382892,,0.8777210051487357,0.7922445823797171,0.8046470781547848,0.7930229402863127,0.8162385166793382,0.7607387761219434,0.7696309283305944,0.7200287427197314,0.9096549906224756,0.7927162698540439,0.7764655679100056,0.747522667738838,0.7737715749466777,0.7068631455867129,0.745460087600538,0.7578969097654914,0.7566930945613307,0.7681318525890838,0.748721056128729,0.7426624630862002,0.7721940640764797,0.7684932354116545,0.7286900417006533,0.7573264325647204,0.7415971254194944,0.7890578726817068,0.7447304872192405,0.6809143576847104,0.7354014485091039,0.71292251879232,0.7219087419939012,0.8334306501109394,0.6783860857917383,0.7461738191396634,0.7268161035492672,0.7132777713551933,0.7242607209103421,0.7408998632852919,0.7262163490208225,0.7061494032164043,0.779081640676359,0.7235743730321902,0.733619243529607,0.6886122660187733,0.7462008633057647,0.7763360041347881,0.8183034780809516,0.7431409698113297,0.7230943470572706,0.7139261323807375,0.7959125392390722,0.7245381791332643,0.7331388584581633,0.7520173138108677,0.7173399280612945,0.6880676060760799,0.6565947290825946,0.7263779724704016,0.7936366190034772,0.7511126399740741,0.7025792264987021,0.6631265388280859,0.7123585311721609,0.7156087744342949,0.7074763850153349,0.669341622412677,0.6451986916443407,0.7686024398288612,0.7544082300415302,0.7237383483749326,0.6035938577119725,0.7024722268468747,0.7148349594131639,0.7151328054755368,0.7157540250510939,0.7271171333255528,0.7563822079351662,0.6966396182998191,0.7179760631454822,0.7457770940335819,0.6967754262002385,0.7369998578372776,0.7101324762150814,0.6813404983206309,0.7101891799388521,0.6366089367639325,0.6533799770339891,0.8219113648018657,0.6558196926618783,0.5982645861764514,0.73252592590325,0.7043034894743299,0.6664121890716006,0.612709603386715,0.6886494305160296,0.6771701483578738,0.7225345316513323,0.7909492936583272
m1198,0.8387879874432449,0.8777210051487357,,0.8196129143591793,0.8220200431797717,0.8189142542130043,0.8248376289873072,0.7942394613966194,0.7949960778060297,0.713156857784967,0.8494548076591855,0.782240682727219,0.7899476120643163,0.7664975333299229,0.7809753633149445,0.7007861380009457,0.7653971024110533,0.7799335173027155,0.7699185405317803,0.7637238565252702,0.7506308289239765,0.7487759155788294,0.7886000961273384,0.79496396849142,0.7651253607976909,0.7893156568591992,0.7688870533490062,0.8188808800920957,0.7472318585730815,0.6947557681399463,0.7688247702294095,0.7383450573682903,0.7479341109306927,0.7707691513581897,0.6671701176834351,0.7556165464169529,0.7590916718826521,0.7322120373265074,0.7399826185265314,0.7483961207573884,0.7390353691267637,0.7256505913325663,0.8191612161060537,0.7280983359685668,0.7485757676189639,0.7096740217493751,0.7542263807780905,0.7948598107787832,0.8227795087765389,0.793813744699401,0.7404854415340472,0.7063162167376553,0.8193460778754211,0.743409051360262,0.7496601341562419,0.7965710104235572,0.7532641367323913,0.7157970271898799,0.6806996135405773,0.7343395305632616,0.8253333260857293,0.7588018276800701,0.7450829308652762,0.6961345629200444,0.7390660733754777,0.7416649043092927,0.7367875250400556,0.6977971513206312,0.6343904069336663,0.784237846869813,0.7849142176261856,0.7309262025653707,0.6427131309854315,0.7312379266639026,0.7133093404613632,0.7543446941436943,0.7303469955429643,0.7465081455751774,0.7962511451071286,0.6922072191807198,0.7217014328035073,0.7597485151162915,0.713914404591749,0.761080842072654,0.7457026937683077,0.6819572350849153,0.6858356975346932,0.6518769840704333,0.6616217864295286,0.8277303520413686,0.7028600096649273,0.6030588482450724,0.7466972955370832,0.7012261937916995,0.6527768390816985,0.6051320352844168,0.73024771627887,0.6690232868854349,0.7494949856832601,0.7992530778908526
m527,0.8474385995679028,0.7922445823797171,0.8196129143591793,,0.8217166170084864,0.7877711590044831,0.8063450000809911,0.789440845419354,0.8217628300069796,0.7446029424711142,0.7604672362175748,0.721524848815038,0.7529936616817873,0.7959478448599999,0.7958447622956462,0.7182953806361538,0.7367357876055096,0.7601800359140986,0.7731086866381767,0.7753411122293128,0.7262942553976189,0.7031121789768693,0.7413311365963134,0.7709871123946056,0.7419909920195238,0.7010673122193215,0.7340400733359496,0.7929518669901999,0.740936419785023,0.7097222080064,0.7457436690201832,0.6477912750730979,0.7046292558060911,0.6944131257613659,0.6736956182391354,0.7283941689211104,0.6938605767562589,0.7486986861704235,0.7479882947650556,0.7505619984615196,0.7689753458300752,0.7237527673890349,0.7559320901730135,0.6836680041971546,0.6916718807737106,0.7393693156031054,0.7732645959944395,0.7380581841355294,0.7632155106489507,0.7259034038252552,0.7253858041361226,0.7208228782800862,0.7850193498103573,0.8086023761443137,0.7248836066887733,0.8044607796830524,0.7200119629755006,0.6893241077146836,0.6524158022057971,0.6972074296872579,0.8087283025238714,0.7509009851486852,0.7495006605432027,0.6979402206009712,0.6190599136834695,0.7341529961892805,0.7490292803417478,0.7227267000771077,0.62217635182842,0.7627498579677165,0.8092637504673573,0.7034961895509898,0.6440442884399381,0.7491250392230697,0.7380417400828004,0.7476038384185971,0.7117458286441852,0.7492240476710336,0.7691116978752915,0.6535928398889848,0.6914527033915706,0.7741242416743473,0.6709793453574107,0.7568138816664172,0.7354753249828585,0.6622478436788879,0.6788956642630574,0.5999544485009335,0.6461986040829171,0.7908295258258877,0.6307802160377857,0.5349818015299801,0.7487319393801067,0.73955073153555,0.6551492623376916,0.6357593525790526,0.727592023070355,0.6376395906302963,0.7166664637223832,0.7636207229742538
m858,0.8213726191161825,0.8046470781547848,0.8220200431797717,0.8217166170084864,,0.7648984391096576,0.8390735107030123,0.8132921841608624,0.7889917332513763,0.7681864525765751,0.769554444566303,0.708533942909252,0.7349545670415173,0.8237616325034023,0.8026658912986466,0.7700915849286664,0.789456506110153,0.7273218713133294,0.924191272362623,0.8232798700766027,0.7919325966036725,0.7748217018828658,0.7795190961908514,0.8038658123841351,0.8328807953580247,0.7225425191129384,0.6913810530388669,0.8330397572049799,0.7322012495342426,0.6541408990985297,0.7020262697776244,0.6705422447182519,0.7427385774444885,0.6570874934733223,0.6979881080826391,0.7210973082686271,0.6420899091685114,0.72113696663705,0.7534328743809834,0.7848153012644636,0.7169207154347033,0.8112378961033877,0.702546744368433,0.6767076998091691,0.7265678515512487,0.6398177280991214,0.8216892376728276,0.7958180410391451,0.7912747519477537,0.7111217084116552,0.7548301271095497,0.7709788325332207,0.8048830575925666,0.747461402547406,0.6929110113263661,0.8084932157911082,0.7562937697839474,0.645590524844885,0.6528085951621776,0.6902155899475121,0.8355387444110527,0.75544039836608,0.7914135550724692,0.6612171315767994,0.6294341582105032,0.8004545519678233,0.7750055246101754,0.7965733471092473,0.7133360829209386,0.7959115090964912,0.7639889335913199,0.7368817038790653,0.7112391644275916,0.6963944392552918,0.770184662726721,0.7118730045050221,0.7188503073805825,0.6770996443583077,0.8367963958247582,0.7051346932457068,0.6890569360481862,0.7597741391041131,0.7629980710616323,0.82609961014832,0.7725834751757861,0.6892533396914309,0.7424793378279404,0.56625146601009,0.691656175495482,0.8016908146424342,0.6095748365852108,0.5094798566848947,0.752924167802586,0.7515857136363497,0.6239852121997872,0.6746634250136102,0.7225295018821991,0.6584895393180084,0.7796193181204774,0.8506896950710795
m2762,0.8244238039645033,0.7930229402863127,0.8189142542130043,0.7877711590044831,0.7648984391096576,,0.8032642408090562,0.7867658466607059,0.7836078755693006,0.7311751713074712,0.7709334077943655,0.7814734543305177,0.7415596878884159,0.7428273544569635,0.7222791919535059,0.6820737701825891,0.7262586675727523,0.7546311839178942,0.755167997910479,0.6989834918336243,0.7294840558007757,0.7182993602705426,0.7339938833642593,0.7485115614252701,0.7011131637648234,0.7469644020934798,0.7290848377883055,0.7398197580690503,0.7138678842765362,0.690140978087106,0.7505925753997462,0.7011134876428787,0.7295718487576893,0.7105069584862456,0.6455096598468313,0.748648889001836,0.7182109398628351,0.7148452388126492,0.7219686205236928,0.7032665958276576,0.7616834969628834,0.6642141737010461,0.7606160066162255,0.7403369560808329,0.72595292837992,0.7354710250481472,0.6922807892303768,0.7201845494753623,0.7471554770404915,0.7410358601976019,0.735154663409892,0.665708964221545,0.741000024087359,0.7434928202711846,0.6926362578514205,0.7447253711523423,0.6811578004725203,0.6614091002797864,0.6679271686145044,0.7214233331069005,0.7304718023164648,0.7075088255487535,0.7020712565430087,0.6826061355982778,0.6694468316505641,0.6779834293171577,0.7190620427244161,0.6467187636411547,0.6188545864828858,0.7049485854277383,0.7942721606580299,0.676937405098198,0.5900207035297204,0.7254111229407056,0.7018529328159535,0.7705994124230455,0.719462070309876,0.7181040712673139,0.6959442281038152,0.6466524202267311,0.6970320871662063,0.7594951330655944,0.685201719135355,0.7127396063429331,0.7221479421890726,0.6580969481529989,0.6219496653855735,0.6519803046037859,0.6448939355905242,0.7575286846487056,0.68483443937229,0.6175347424591244,0.6885858567197964,0.6642814943926039,0.6436919847162939,0.6213962660306103,0.7274452663810349,0.6524985165289016,0.6791986308874078,0.7415993500389637
m50,0.8491692659602808,0.8162385166793382,0.8248376289873072,0.8063450000809911,0.8390735107030123,0.8032642408090562,,0.8025555719139073,0.7724720873949562,0.8069470400583396,0.785086356632955,0.7702901014717806,0.7837868477004992,0.8136202709635272,0.7753823625008984,0.7593198944051018,0.7989190972418239,0.7578220913493225,0.8048956969466927,0.7794398277624657,0.7872155718621603,0.7697774520151682,0.7931068159241352,0.7823566535559027,0.7955680119012862,0.7219922882653809,0.686089336244512,0.7919216001238341,0.7192926726136422,0.6983071545259586,0.7173077223259109,0.6695481012653876,0.7541695668267847,0.7024722946565972,0.7350585761212388,0.7266396470451821,0.6655398183025864,0.7528392983329478,0.7372143885815203,0.7525275907996105,0.7688356982583251,0.7753950400012448,0.7364196900433799,0.71700808007486,0.7351781575636067,0.6708711308223573,0.7695769003579815,0.7952923945049915,0.8123813335648986,0.716286876197858,0.742406950760114,0.7376701320605756,0.8182162983064986,0.7932479784360307,0.7054761651124204,0.7990261955661222,0.7039730886937319,0.660267300790824,0.6694038512105037,0.7626197762549004,0.7808030504713952,0.7558554758447456,0.7555791583785951,0.6967041831504176,0.6683541482142805,0.7588761764957344,0.7672817923158397,0.7429013375275468,0.6538936057990193,0.7560392751864193,0.7899471257460846,0.7025018894094751,0.6960019917367576,0.7332213515609589,0.7688152452467765,0.7246334873242999,0.760708679996486,0.692759617844586,0.7900689776334573,0.6738169160655268,0.7247849984894638,0.7845913949380404,0.7606162060058876,0.7810626270016187,0.7317443254097047,0.7397973850384795,0.7097571247316266,0.56199944731707,0.7169588618643239,0.8295599832418139,0.6248149873306788,0.5758887334197896,0.7470586180575451,0.7245439339983539,0.6348118919413713,0.6842097738285837,0.7687366946406641,0.7026915702125902,0.7138896765331594,0.8083328602343003
m593,0.8163704940973273,0.7607387761219434,0.7942394613966194,0.789440845419354,0.8132921841608624,0.7867658466607059,0.8025555719139073,,0.7589080737749068,0.7362004750386243,0.738426384404909,0.7316213960049194,0.7181230717733387,0.7922036721437495,0.7216109530734647,0.7271786348650178,0.742754732490669,0.7433637659592673,0.7754616681615359,0.7317120630756966,0.7662820137321622,0.7113868556652597,0.7325090194010668,0.7260062316094182,0.7564511062187054,0.7296506396188506,0.7063221214691662,0.7497756185421314,0.7006389886523293,0.648989509884608,0.7274938093686878,0.685444165106327,0.7411312191359896,0.6733876171258525,0.683207373064765,0.7135345108400957,0.6618039462605422,0.7153179524272983,0.7017223000858157,0.7141990454228163,0.7358581701956995,0.7096483070433526,0.7211143733665402,0.71002611686367,0.7410765975931488,0.7013519996159691,0.7108933366113355,0.7201475770926461,0.7461585552922473,0.7069032636400706,0.7235412884846442,0.701951735107964,0.7470503950555273,0.7346913774611226,0.67240390808542,0.7368052717298317,0.7443250084407026,0.6692527063701104,0.6270554648784655,0.7043306727346809,0.7605480657835384,0.7160298186253579,0.7753721193121992,0.6534645522299316,0.6288600633347031,0.7424727690068152,0.738547909485595,0.7269897219072663,0.65383787779787,0.711678862412779,0.7425304536572642,0.6583215457376581,0.5991456209004262,0.7165143442346413,0.7358634747772671,0.7408284453011615,0.7211495613974208,0.6876813775420416,0.7415419341022544,0.6522442196949375,0.7023150140682198,0.758526883988107,0.7206301271239118,0.7386969128919432,0.6948577414517818,0.7028442957369232,0.6496705756213894,0.6250427293709302,0.6603232845439736,0.7408669872990404,0.6440566513288544,0.5640881086760614,0.7349202813929514,0.6899050952390043,0.624662236432646,0.650479367516834,0.7903872884545207,0.649743660462429,0.7068954469171137,0.732994628370678
m2028,0.7997486192793049,0.7696309283305944,0.7949960778060297,0.8217628300069796,0.7889917332513763,0.7836078755693006,0.7724720873949562,0.7589080737749068,,0.7251006603076875,0.7477562753655073,0.7411419120372642,0.7196141876980281,0.7479822526881195,0.7262468139692632,0.6908438710781368,0.7247557249000007,0.7935338893920367,0.7533875772547717,0.7245285456452436,0.7237485641520764,0.6855184856813605,0.7311745317934741,0.7130402154941564,0.7450863165334323,0.7201512663644877,0.7250051997334301,0.7343572802583604,0.6665143238437959,0.6380169092670649,0.7308017265548687,0.6976592974845852,0.7051345065959912,0.7103008062616407,0.6239386742831122,0.7220047488268397,0.6788648907761059,0.7388448505680598,0.6845723836009246,0.735236570154743,0.7472260228184072,0.6869755407106797,0.7403219581955662,0.7484619888594222,0.7143455787482614,0.7863911134816636,0.7037208709815183,0.7107391437961176,0.7022676159526663,0.7371811004136266,0.6864406089463972,0.6758914178381815,0.7687387426713903,0.7266139211577126,0.7449308669375907,0.7206250797471259,0.7139823128004744,0.6687924774983026,0.6388421825529254,0.6977197058959319,0.7929329085936592,0.7124583098296492,0.6923617124325772,0.6625873276014942,0.6464758594905704,0.7175865508128281,0.7098706003402281,0.6928056954709748,0.6179481488123024,0.7527951107237852,0.7817900971730831,0.6683763919414407,0.5869871195073598,0.7108155635054301,0.7349200299354776,0.7671884833227349,0.6510960181285721,0.758634980155932,0.7331307341916784,0.6673032448362886,0.6933767527745625,0.731492214152451,0.7094725861207175,0.7252285376538188,0.6603847698420957,0.6661086426847038,0.6506687292326828,0.6664098106550091,0.6343500089561532,0.7090781087314438,0.676785066158659,0.569335257166711,0.7418649574628107,0.6750412263549932,0.6303968639023028,0.5859051234250205,0.7295553653549653,0.6357135014565151,0.6195097910583593,0.72234749628838
m2858,0.7660723389228714,0.7200287427197314,0.713156857784967,0.7446029424711142,0.7681864525765751,0.7311751713074712,0.8069470400583396,0.7362004750386243,0.7251006603076875,,0.7037754802751082,0.7248517877447673,0.7011175473961209,0.7758284627158726,0.7134324266485803,0.744961181724981,0.7614256189881519,0.6911579100984255,0.7358333065498064,0.7408557691729665,0.7739900620616689,0.7177020652819217,0.7325952767572277,0.7204170626499654,0.7506201627278438,0.6711046521189401,0.6491854378730122,0.7243449469271438,0.6479420290413018,0.6721319390395447,0.6558917446041423,0.6377085172530007,0.677880789721892,0.646131653275545,0.7282996936478802,0.6649985911355273,0.6073742421081326,0.7077445768468972,0.7150218291443411,0.6656624806358934,0.7171256778926903,0.7088402982645935,0.6733716471271532,0.686152219676471,0.6592994151464409,0.6524358464281377,0.7033189543097755,0.7059985660221568,0.7381355206477389,0.639794008641906,0.7100502688453507,0.7451552026055197,0.6722959515537421,0.7314232286717318,0.634910647257913,0.6826988183048135,0.6493892051101292,0.5895386092458332,0.6413954447884872,0.7153211721126658,0.7313504645583351,0.6815878738174423,0.7005654274148219,0.6371116788132285,0.6068055644182829,0.7187469393513504,0.7379980079681542,0.7265721476267393,0.6528226052657885,0.6994497655255623,0.7246616166734205,0.652496923598076,0.6976311913535153,0.6795619029191321,0.7595093697336022,0.6498175290012458,0.7535336742005534,0.6038096444395838,0.687626684087182,0.6400131939210979,0.6565971185863526,0.773006108023299,0.7297593302022733,0.7052733054549213,0.6966591300512358,0.7403885656074884,0.6787040889608731,0.5355322782643962,0.6857022202918988,0.7779648858760554,0.5751370191213199,0.5192086077249791,0.7265121744415748,0.6624493906170792,0.6238512039410935,0.6959562833528044,0.7284910951016977,0.6670921160175864,0.676039519049822,0.7216694691962602
